                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0808,                 1.0842,                 1.1749,                0.85323,                0.88909,                0.92612,                0.64764,                  1.242,                0.86503,                 1.2593,             4.6788e-05,             4.6788e-05,             4.6788e-05
                     58,                 1.0695,                 1.0629,                 1.1723,                0.89848,                0.86365,                0.92413,                0.65506,                 1.2373,                0.86369,                 1.2607,             4.5749e-05,             4.5749e-05,             4.5749e-05
                     59,                 1.0661,                 1.0599,                 1.1687,                0.85374,                0.89634,                0.92444,                0.65705,                 1.2416,                0.85817,                 1.2615,             4.4709e-05,             4.4709e-05,             4.4709e-05
                     60,                 1.0569,                 1.0528,                 1.1592,                0.85403,                0.89628,                0.92529,                 0.6556,                  1.246,                0.86936,                 1.2611,              4.367e-05,              4.367e-05,              4.367e-05
                     61,                 1.0566,                 1.0493,                 1.1678,                0.85968,                0.90535,                0.92542,                0.65241,                 1.2524,                0.85862,                 1.2678,              4.263e-05,              4.263e-05,              4.263e-05
                     62,                 1.0554,                 1.0553,                 1.1715,                 0.9001,                0.88405,                 0.9258,                0.65243,                 1.2416,                0.84917,                 1.2642,             4.1591e-05,             4.1591e-05,             4.1591e-05
                     63,                 1.0577,                 1.0532,                 1.1686,                0.89139,                0.88287,                 0.9281,                0.65488,                 1.2358,                0.83854,                 1.2566,             4.0551e-05,             4.0551e-05,             4.0551e-05
                     64,                 1.0484,                 1.0301,                 1.1588,                0.87463,                0.89911,                0.92709,                0.65184,                  1.239,                0.84469,                 1.2609,             3.9512e-05,             3.9512e-05,             3.9512e-05
                     65,                 1.0537,                 1.0395,                 1.1643,                0.86676,                0.90324,                 0.9335,                0.65035,                 1.2642,                0.84527,                 1.2722,             3.8472e-05,             3.8472e-05,             3.8472e-05
                     66,                 1.0482,                 1.0197,                   1.16,                0.88588,                 0.8744,                0.93004,                0.65658,                 1.2482,                 0.8325,                 1.2623,             3.7432e-05,             3.7432e-05,             3.7432e-05
